XY128;978-81-7525-766-5;Odissea;Omero
FZ114;978-88-7775-766-7;Frankenstein o il moderno Prometeo; Mary Shelley
XY123;978-81-7525-766-5;Odissea;Omero
AB001;978-23-7525-7546-2;Iliade;Omero
FZ111;978-88-7775-766-7;Frankenstein o il moderno Prometeo; Mary Shelley
YY128;978-81-7525-766-5;Odissea;Omero
XY124;978-81-7525-766-5;Odissea;Omero
MN214;978-88-3175-866-0;Candido, o l'ottimismo;Voltaire
XY125;978-81-7525-766-5;Odissea;Omero
FZ112;978-88-7775-766-7;Frankenstein o il moderno Prometeo; Mary Shelley
XY126;978-81-7525-766-5;Odissea;Omero
BA013;999-77-7525-766-5;Il gabbiano Jonathan Livingston;Richard Bach
FZ115;978-88-7775-766-7;Frankenstein o il moderno Prometeo; Mary Shelley
FZ113;978-88-7775-766-7;Frankenstein o il moderno Prometeo; Mary Shelley
FZ116;978-88-7775-766-7;Frankenstein o il moderno Prometeo; Mary Shelley
XY100;978-81-7525-766-5;Odissea;Omero
