2021	Verstappen	Olanda	Red-Bull
2020	Hamilton	Gran-Bretagna	Mercedes
2019	Hamilton	Gran-Bretagna	Mercedes
2018	Hamilton	Gran-Bretagna	Mercedes
2017	Hamilton	Gran-Bretagna	Mercedes
2016	Rosberg	Germania	Mercedes
2015	Hamilton	Gran-Bretagna	Mercedes
2014	Hamilton	Gran-Bretagna	Mercedes
2013	Vettel	Germania	Red-Bull
2012	Vettel	Germania	Red-Bull
2011	Vettel	Germania	Red-Bull
2010	Vettel	Germania	Red-Bull
2009	Button  Gran-Bretagna	Brawn
2008	Hamilton	Gran-Bretagna	Mclaren
2007	Raikkonen	Finlandia	Ferrari
2006	Alonso	Spagna	Renault
2005	Alonso	Spagna	Renault
2004	Schumacher	Germania	Ferrari
2003	Schumacher	Germania	Ferrari
2002	Schumacher	Germania	Ferrari
2001	Schumacher	Germania	Ferrari
2000	Schumacher	Germania	Ferrari
1999	Hakkinen	Finlandia	Mclaren
1998	Hakkinen	Finlandia	Mclaren
1997	Villeneuve	Canada	Williams
1996	Hill	Gran-Bretagna	Williams
1995	Schumacher	Germania	Benetton
1994	Schumacher	Germania	Benetton
1993	Prost	Francia	Williams
1992	Mansell	Gran-Bretagna	Williams
1991	Senna	Brasile	Mclaren
1990	Senna	Brasile	Mclaren
1989	Prost	Francia	Mclaren
1988	Senna	Brasile	Mclaren
1987	Piquet	Brasile	Williams
1986	Prost	Francia	Mclaren
1985	Prost	Francia	Mclaren
1984	Lauda	Austria	Mclaren
1983	Piquet	Brasile	Brabham
1982	Rosberg	Finlandia	Williams
1981	Piquet	Brasile	Brabham
1980	Jones	Australia	Williams
1979	Scheckter	Sud-Africa	Ferrari
1978	Andretti	USA	Lotus
1977	Lauda	Austria	Ferrari
1976	Hunt	Gran-Bretagna	Mclaren
1975	Lauda	Austria	Ferrari
1974	Fittipaldi	Brasile	Mclaren
1973	Stewart	Gran-Bretagna	Tyrrell
1972	Fittipaldi	Brasile	Lotus
1971	Stewart	Gran-Bretagna	Tyrrell
1970	Rindt	Austria	Lotus
1969	Stewart	Gran-Bretagna	Matra
1968	Hill	Gran-Bretagna	Lotus
1967	Hulme	Nuova-Zelanda	Brabham
1966	Brabham	Australia	Brabham
1965	Clark	Gran-Bretagna	Lotus
1964	Surtees	Gran-Bretagna	Ferrari
1963	Clark	Gran-Bretagna	Lotus
1962	G.Hill	Gran-Bretagna	BRM
1961	P.Hill	USA	Ferrari
1960	Brabham	Australia	Cooper
1959	Brabham	Australia	Cooper
1958	Hawthorn	Gran-Bretagna	Ferrari
1957	Fangio	Argentina	Maserati
1956	Fangio	Argentina	Ferrari
1955	Fangio	Argentina	Mercedes
1954	Fangio	Argentina	Maserati-Mercedes
1953	Ascari	Italia	Ferrari
1952	Ascari	Italia	Ferrari
1951	Fangio	Argentina	Alfa-Romeo
1950	Farina	Italia	Alfa-Romeo
